Country,Region,DataYear,ClassGrade,Gender,Ageyears,Handed,Height_cm,Footlength_cm,Armspan_cm,Languages_spoken,Travel_to_School,Travel_time_to_School,Reaction_time,Score_in_memory_game,Favourite_physical_activity,Importance_reducing_pollution,Importance_recycling_rubbish,Importance_conserving_water,Importance_saving_energy,Importance_owning_computer,Importance_Internet_access,Left_Footlength_cm,Longer_foot,Index_Fingerlength_mm,Ring_Fingerlength_mm,Longer_Finger_Lefthand,Birth_month,Favorite_Season,Allergies,Vegetarian,Favorite_Food,Beverage,Favorite_School_Subject,Sleep_Hours_Schoolnight,Sleep_Hours_Non_Schoolnight,Home_Occupants,Home_Internet_Access,Communication_With_Friends,Text_Messages_Sent_Yesterday,Text_Messages_Received_Yesterday,Hanging_Out_With_Friends_Hours,Talking_On_Phone_Hours,Doing_Homework_Hours,Doing_Things_With_Family_Hours,Outdoor_Activities_Hours,Video_Games_Hours,Social_Websites_Hours,Texting_Messaging_Hours,Computer_Use_Hours,Watching_TV_Hours,Paid_Work_Hours,Work_At_Home_Hours,Schoolwork_Pressure,Planned_Education_Level,Favorite_Music,Superpower,Preferred_Status,Role_Model_Type,Charity_Donation
USA,CA,2020,"12        ",Female,17,Right-Handed,5’0,152.4,156,2,Car,"15 ",0.773,51,Baseball/Softball,1000,700,900,900,300,600,22,"Same length",75,70,"Ring finger",June,Summer,Yes,No,Other,Juice,Art,5,7,7,"Yes - broadband connection","Text messaging",300,,,,,,,,,,,,,,"A lot","Some college","Rhythm and blues (R&B)",,,,Environment
USA,CA,2020,"12        ",Female,17,Right-Handed,25,25,2.443,1,Car,10,1.981,50,Walking/Hiking,0,100,100,100,10,500,25,"Same length",8,10,"Ring finger",July,Summer,No,No,Pizza/Pasta,Water,English,8,10,2,"Yes - other","Text messaging",5,10,72,168,120,48,0,0,168,96,168,0,0,96,"A lot","Graduate degree","Rhythm and blues (R&B)",Telepathy,Healthy,Relative,"International aid"
USA,CA,2020,"11        ",Female,16,Right-Handed,160,22,155,2,Bus,40,.41,39,Tennis,999,551,850,647,1000,1000,22,"Same length",8,7,"Index finger",October,Winter,No,No,Pizza/Pasta,Water,"Computers and technology",6,10,5,"Yes - broadband connection","Text messaging",25,58,4,2,1,20,1,32,10,20,8,1,0,1,Some,"Graduate degree","Rap/Hip hop",Invisibility,Rich,"Business person",Health
USA,CA,2020,"11        ",Male,17,Left-Handed,163,27,178,2,Car,10,0.309,55,Soccer,900,690,780,570,200,400,28,"Left foot",70,63,"Index finger",November,Summer,No,No,Meat,Water,Languages,7,9,4,"Yes - other","In person",9,60,9,12,15,8,30,2,7,4,8,5,16,3,"A lot","Graduate degree",Gospel,"Super strength",Happy,"Religious figure",Other
USA,CA,2020,"7         ",Male,13,Right-Handed,5'6,40,40,2,Bus,30,1,2,Soccer,1000,1000,1000,1000,1000,99999,40,"Same length",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USA,CA,2020,"9         ",Male,14,Right-Handed,185,25,183,1,Bus,40,0.324,72,Basketball,1000,778,765,876,768,897,21,"Same length","10 ",95,"Index finger",April,Summer,Yes,No,Meat,"Soft drink (caffeinated)","Physical education",7,11,2,"Yes - other","Text messaging",5,6,3,2,0,3,2,4,1,4,2,2,0,0,None,"Graduate degree","Rap/Hip hop",Invisibility,Happy,Relative,Health
USA,CA,2020,"9         ",Female,14,Right-Handed,244,24,131,2,Car,25,0.44,54,Soccer,930,829,877,369,294,786,23,,70,70,"Same length",November,Winter,No,No,Meat,Water,English,7,10,8,"Yes - other","Myspace, Facebook, other social networking sites, or blog",90,100,56,3,8,3,21,0,14,10,7,0,0,2,Some,"Graduate degree","Rap/Hip hop",Invisibility,Happy,"Sports person","Wildlife, animals"
USA,CA,2020,"7         ",Female,12,Right-Handed,5'',7,6,1,Car,5,2.074,90,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USA,CA,2020,"9         ",Male,14,Right-Handed,187,27,356,2,Bus,20,0.27,44,Basketball,989,963,652,193,278,802,27,"Same length",80,90,"Ring finger",April,Spring,No,No,Meat,Water,"Social studies",6,6,5,"No internet connection","Internet chat or instant messaging",30,50,0,5,1,24,1,1,9,2,90,0,0,4,"A lot","Graduate degree","Rap/Hip hop","Freeze time",Healthy,Actor,Health
USA,CA,2020,"11        ",Male,16,Right-Handed,26,24,164,2,Bus,60,.386,36,Soccer,70,100,58,60,50,100,23,"Right foot",80,80,"Same length",March,Summer,No,No,Meat,Water,"Physical education",6,5,5,"Yes - other","Myspace, Facebook, other social networking sites, or blog",69,70,60,20,16,24,18,20,24,6,10,0,0,8,Some,"Some college","Rap/Hip hop","Freeze time",Rich,"Sports person",Health
USA,CA,2020,"11        ",Male,16,Right-Handed,177.8,31,170,2,Car,20,.369,.47,Swimming,300,400,700,600,1000,999,31,"Same length",9,8,"Index finger",April,Summer,Yes,No,Meat,Water,"Mathematics and statistics",8,7,3,"Yes - broadband connection","Text messaging",20,100,120,2,10,7,8,2,15,2,19,40,0,0,"A lot","Graduate degree","Rap/Hip hop","Freeze time",Rich,"Musician or singer","International aid"
USA,CA,2020,"12        ",Male,17,Left-Handed,154,24,182,0,Car,10,0.704,43,"Football (American)",,,,,,,24,"Same length",8,7,"Same length",May,Summer,Yes,No,Pizza/Pasta,Water,History,8,12,7,"Yes - broadband connection","In person",12,20,0,2,1,1,2,1,0,1,0,1,0,0,Some,"Graduate degree","Rap/Hip hop","Super strength",Healthy,"Sports person","Arts, culture, sports"
USA,CA,2020,"9         ",Male,15,Right-Handed,159,274,251,0,"Rail (Train/Tram/Subway)",35,0.45,65,Basketball,1000,1000,1000,1000,1000,1000,27,"Same length",16,20,"Same length",October,Spring,Yes,No,Salads,Water,"Physical education",10,8,5,"Yes - broadband connection","Text messaging",0,0,8,1,5,10,15,20,0,1,1,24,0,0,Some,"High school","Rap/Hip hop","Super strength",Rich,"Sports person",Health
